value,type
-2.890647768274682,variable 2
-2.7859428826113404,variable 2
-2.8778542753413645,variable 2
-2.8967580330747045,variable 2
-2.972668850900818,variable 2
-2.996417040578273,variable 2
-2.9964295238970022,variable 2
-2.983200314943729,variable 2
-2.9375914887768975,variable 2
-2.771880939429025,variable 2
-2.570836976765955,variable 2
-2.873503437923654,variable 2
-2.911794204800016,variable 2
-2.650640814884817,variable 2
-2.912352434858603,variable 2
-2.920610011812696,variable 2
-2.930892957125573,variable 2
-2.946196580137134,variable 2
-2.96202185889673,variable 2
-2.954054497629497,variable 2
-2.934423541247016,variable 2
-2.5946070098652307,variable 2
-2.9432290083242476,variable 2
-2.8488163771764925,variable 2
-2.9282733665707728,variable 2
-2.832460757791151,variable 2
-2.9160168329035203,variable 2
-2.9295948160473957,variable 2
-2.8973685990653117,variable 2
-2.95717903747252,variable 2
-2.7394673151929427,variable 2
-2.8656895293789137,variable 2
-2.9853260401661856,variable 2
-2.326441082250408,variable 2
-2.8089570808245887,variable 2
-2.9917239884385864,variable 2
-2.957415020392806,variable 2
-2.929897002072571,variable 2
-2.981216421647918,variable 2
-2.9747724284921384,variable 2
-2.9853208805376013,variable 2
-2.9685866959223506,variable 2
-2.9910450548043372,variable 2
-2.991650965318739,variable 2
-2.9883826279989996,variable 2
-2.9195189740504652,variable 2
-2.8631248754475354,variable 2
-2.9633700430037746,variable 2
-2.907420271333892,variable 2
-2.9460337148205302,variable 2
-2.9234442842731587,variable 2
-2.921210902754097,variable 2
-2.8858067220013006,variable 2
-2.9345579755188984,variable 2
-2.994415596671623,variable 2
-2.990128633189127,variable 2
-2.7352216101286677,variable 2
-2.933931538152873,variable 2
-2.9181740746087086,variable 2
-2.782968646029663,variable 2
-2.8152452400743715,variable 2
-2.90802851101797,variable 2
-2.8614744051051884,variable 2
-2.9709152631443834,variable 2
-2.9849991702392678,variable 2
-2.950020932633049,variable 2
-2.9983298157010396,variable 2
-2.9741598344394284,variable 2
-2.93274390498568,variable 2
-2.9939020541263788,variable 2
-2.9565214204411365,variable 2
-2.8488235684461123,variable 2
-2.773863553852734,variable 2
-2.985077222475938,variable 2
-2.962153210514217,variable 2
-2.994863819392671,variable 2
-2.978504993283252,variable 2
-2.952852374555071,variable 2
-2.907751900048884,variable 2
-2.9568782715680078,variable 2
-2.9859724515579646,variable 2
-2.9773702090284937,variable 2
-2.9850676667245026,variable 2
-2.940563306954167,variable 2
-2.971646478549465,variable 2
-2.82281323058048,variable 2
-2.9958040452078625,variable 2
-2.923604951329507,variable 2
-2.98400532039426,variable 2
-2.9069150023276435,variable 2
-2.9530899393637964,variable 2
-2.962529930207613,variable 2
-2.9713476519495132,variable 2
-2.9947322419047384,variable 2
-2.8216423110309665,variable 2
-2.992581700757673,variable 2
-2.990173293502578,variable 2
-2.9801277849521526,variable 2
-2.993818090923764,variable 2
-2.934960877494037,variable 2
-2.9386751181475663,variable 2
-2.86821573125283,variable 2
-2.966153720961542,variable 2
-2.982790770468716,variable 2
-2.6027576602274167,variable 2
-2.9915653791892516,variable 2
-2.956760149596104,variable 2
-2.9888644609581876,variable 2
-2.946185067902258,variable 2
-2.9430556448038194,variable 2
-2.933067917730989,variable 2
-2.9796878247151732,variable 2
-2.978840379082704,variable 2
-2.9189891487910895,variable 2
-2.986130478156987,variable 2
-2.98983931796184,variable 2
-2.7036771918360953,variable 2
-2.934743373798438,variable 2
-2.9942734481286934,variable 2
-2.8898978624878597,variable 2
-2.9949911339735964,variable 2
-2.757869635764431,variable 2
-2.9148461599027335,variable 2
-2.985235296316878,variable 2
-2.8574661590722816,variable 2
-2.6403660199956365,variable 2
-2.987607556347441,variable 2
-2.9826031103034434,variable 2
-2.8481605591554913,variable 2
-2.995636926209946,variable 2
-2.976605037898928,variable 2
-2.973279184022177,variable 2
-2.995550993162541,variable 2
